,labels,reviews_no_names,stemmed_reviews
219,Cluster 1,welcome board aminat,welcom board aminat
220,Cluster 1,please welcome caroline group,pleas welcom carolin group
221,Cluster 1,welcome board caroline,welcom board carolin
222,Cluster 1,welcome,welcom
223,Cluster 1,welcome board,welcom board
224,Cluster 1,welcome,welcom
225,Cluster 1,welcome,welcom
226,Cluster 1,welcome board,welcom board
227,Cluster 1,shall welcome esther elite team top achievers achievement ambassador state beyond congratulations,shall welcom esther elit team top achiev achiev ambassador state beyond congratul
228,Cluster 1,welcome board esther,welcom board esther
229,Cluster 1,welcome,welcom
230,Cluster 1,welcome board,welcom board
231,Cluster 1,welcome,welcom
232,Cluster 1,welcome board,welcom board
233,Cluster 1,welcome,welcom
234,Cluster 1,welcome board emmanuel,welcom board emmanuel
235,Cluster 1,welcome board christy,welcom board christi
236,Cluster 1,welcome board,welcom board
237,Cluster 1,welcome board,welcom board
238,Cluster 1,welcome board madam,welcom board madam
239,Cluster 1,welcome,welcom
240,Cluster 1,welcome board kalisa,welcom board kalisa
241,Cluster 1,welcome board farouk,welcom board farouk
242,Cluster 1,welcome brother,welcom brother
243,Cluster 1,welcome farouk,welcom farouk
244,Cluster 1,welcome sir,welcom sir
245,Cluster 1,welcome board fellow,welcom board fellow
246,Cluster 1,welcome board,welcom board
247,Cluster 1,congratulations welcome,congratul welcom
248,Cluster 1,welcome,welcom
249,Cluster 1,welcome board samuel,welcom board samuel
250,Cluster 1,welcome board sam,welcom board sam
251,Cluster 1,welcome board isaac,welcom board isaac
252,Cluster 1,welcome,welcom
253,Cluster 1,welcome board,welcom board
254,Cluster 1,welcome board mrs,welcom board mr
255,Cluster 1,welcome,welcom
256,Cluster 1,welcome board,welcom board
257,Cluster 1,motivating welcome,motiv welcom
258,Cluster 1,welcome,welcom
259,Cluster 1,welcome,welcom
260,Cluster 1,welcome,welcom
261,Cluster 1,welcome board,welcom board
262,Cluster 1,welcome,welcom
263,Cluster 1,welcome board timothy,welcom board timothi
264,Cluster 1,welcome,welcom
265,Cluster 1,welcome board enoch,welcom board enoch
266,Cluster 1,welcome board,welcom board
267,Cluster 1,welcome,welcom
268,Cluster 1,welcome isaac,welcom isaac
269,Cluster 1,welcome hon,welcom hon
270,Cluster 1,welcome board isaac,welcom board isaac
271,Cluster 1,welcome board,welcom board
272,Cluster 1,welcome board daniel,welcom board daniel
273,Cluster 1,welcome board,welcom board
274,Cluster 1,welcome,welcom
275,Cluster 1,welcome,welcom
276,Cluster 1,welcome board,welcom board
277,Cluster 1,welcome board,welcom board
278,Cluster 1,welcome board,welcom board
279,Cluster 1,welcome,welcom
280,Cluster 1,welcome board evans,welcom board evan
281,Cluster 1,welcome,welcom
282,Cluster 1,welcome board,welcom board
283,Cluster 1,welcome,welcom
284,Cluster 1,welcome,welcom
285,Cluster 1,welcome,welcom
286,Cluster 1,welcome sheik,welcom sheik
287,Cluster 1,welcome board sheikh,welcom board sheikh
288,Cluster 1,welcome board sheikh,welcom board sheikh
289,Cluster 1,welcome board,welcom board
290,Cluster 1,welcome board winifred,welcom board winifr
291,Cluster 1,sulaimon welcome board,sulaimon welcom board
292,Cluster 1,welcome sulaimon,welcom sulaimon
293,Cluster 1,welcome board,welcom board
294,Cluster 1,welcome board austin,welcom board austin
295,Cluster 1,welcome,welcom
296,Cluster 1,welcome,welcom
297,Cluster 1,welcome,welcom
298,Cluster 1,welcome board,welcom board
299,Cluster 1,austin welcome,austin welcom
300,Cluster 1,welcome,welcom
301,Cluster 1,welcome,welcom
302,Cluster 1,welcome board,welcom board
303,Cluster 1,welcome board,welcom board
304,Cluster 1,welcome board,welcom board
305,Cluster 1,welcome,welcom
306,Cluster 1,welcome board,welcom board
307,Cluster 1,welcome board lydia,welcom board lydia
308,Cluster 1,please welcome group,pleas welcom group
309,Cluster 1,welcome board charles,welcom board charl
310,Cluster 1,welcome board charles,welcom board charl
311,Cluster 1,welcome,welcom
312,Cluster 1,welcome,welcom
313,Cluster 1,welcome board,welcom board
314,Cluster 1,welcome,welcom
315,Cluster 1,welcome,welcom
316,Cluster 1,welcome board,welcom board
317,Cluster 1,welcome board,welcom board
318,Cluster 1,welcome,welcom
319,Cluster 1,please welcome irene group,pleas welcom iren group
320,Cluster 1,welcome,welcom
321,Cluster 1,welcome platform,welcom platform
322,Cluster 1,welcome board,welcom board
323,Cluster 1,welcome,welcom
324,Cluster 1,welcome,welcom
325,Cluster 1,welcome board samuel,welcom board samuel
326,Cluster 1,welcome,welcom
327,Cluster 1,welcome,welcom
328,Cluster 1,welcome board,welcom board
329,Cluster 1,welcome board shakirat,welcom board shakirat
330,Cluster 1,welcome board,welcom board
331,Cluster 1,welcome,welcom
332,Cluster 1,wow welcome board everyone,wow welcom board everyon
333,Cluster 1,welcome,welcom
334,Cluster 1,congratulations welcome new black,congratul welcom new black
335,Cluster 1,welcome board,welcom board
336,Cluster 1,welcome board,welcom board
337,Cluster 1,welcome,welcom
338,Cluster 1,welcome,welcom
339,Cluster 1,welcome board mouline,welcom board moulin
340,Cluster 1,welcome,welcom
341,Cluster 1,welcome mouline,welcom moulin
342,Cluster 1,welcome mouliine,welcom mouliin
343,Cluster 1,welcome mouline,welcom moulin
344,Cluster 1,please welcome callixte group,pleas welcom callixt group
345,Cluster 1,big welcome,big welcom
346,Cluster 1,welcome,welcom
347,Cluster 1,welcome board callixte,welcom board callixt
348,Cluster 1,welcome board khadija,welcom board khadija
349,Cluster 1,welcome board,welcom board
350,Cluster 1,welcome,welcom
351,Cluster 1,welcome,welcom
352,Cluster 1,welcome sir,welcom sir
353,Cluster 1,welcome,welcom
354,Cluster 1,welcome board hamid,welcom board hamid
355,Cluster 1,welcome board,welcom board
356,Cluster 1,welcome board favour,welcom board favour
357,Cluster 1,welcome board favour,welcom board favour
358,Cluster 1,welcome,welcom
359,Cluster 1,welcome,welcom
360,Cluster 1,welcome board victor,welcom board victor
361,Cluster 1,welcome board titilayo,welcom board titilayo
362,Cluster 1,welcome board gabriel,welcom board gabriel
363,Cluster 1,welcome board,welcom board
364,Cluster 1,welcome,welcom
365,Cluster 1,welcome,welcom
366,Cluster 1,hail sir welcome,hail sir welcom
367,Cluster 1,welcome board tom,welcom board tom
368,Cluster 1,welcome,welcom
369,Cluster 1,welcome board,welcom board
370,Cluster 1,welcome board,welcom board
371,Cluster 1,welcome board,welcom board
372,Cluster 1,welcome,welcom
373,Cluster 1,welcome board maida,welcom board maida
374,Cluster 1,welcome,welcom
375,Cluster 1,welcome great educators,welcom great educ
376,Cluster 1,welcome,welcom
377,Cluster 1,welcome board,welcom board
378,Cluster 1,welcome,welcom
379,Cluster 1,welcome,welcom
380,Cluster 1,welcome board abigail,welcom board abigail
381,Cluster 1,welcome mrs,welcom mr
382,Cluster 1,welcome,welcom
383,Cluster 1,welcome,welcom
384,Cluster 1,highly welcome,highli welcom
385,Cluster 1,welcome board,welcom board
386,Cluster 1,welcome,welcom
387,Cluster 1,please welcome group,pleas welcom group
388,Cluster 1,welcome board joseph,welcom board joseph
389,Cluster 1,welcome board,welcom board
390,Cluster 1,welcome board joseph,welcom board joseph
391,Cluster 1,welcome,welcom
392,Cluster 1,welcome,welcom
393,Cluster 1,welcome board,welcom board
394,Cluster 1,welcome,welcom
395,Cluster 1,welcome sir,welcom sir
396,Cluster 1,welcome,welcom
397,Cluster 1,welcome,welcom
398,Cluster 1,welcome sir,welcom sir
399,Cluster 1,welcome,welcom
400,Cluster 1,welcome,welcom
401,Cluster 1,welcome board,welcom board
402,Cluster 1,welcome board,welcom board
403,Cluster 1,welcome congratulations new black,welcom congratul new black
404,Cluster 1,welcome board,welcom board
405,Cluster 1,welcome,welcom
406,Cluster 1,welcome,welcom
407,Cluster 1,welcome,welcom
408,Cluster 1,welcome board,welcom board
409,Cluster 1,welcome,welcom
410,Cluster 1,welcome,welcom
411,Cluster 1,welcome,welcom
412,Cluster 1,welcome board,welcom board
413,Cluster 1,welcome,welcom
414,Cluster 1,welcome board,welcom board
415,Cluster 1,welcome board,welcom board
416,Cluster 1,welcome,welcom
417,Cluster 1,welcome board,welcom board
418,Cluster 1,welcome,welcom
419,Cluster 1,welcome board,welcom board
420,Cluster 1,welcome,welcom
421,Cluster 1,welcome top,welcom top
422,Cluster 1,welcome mrs,welcom mr
423,Cluster 1,welcome board,welcom board
424,Cluster 1,highly welcome,highli welcom
425,Cluster 1,welcome,welcom
426,Cluster 1,highly welcome,highli welcom
427,Cluster 1,welcome board mercy,welcom board merci
428,Cluster 1,welcome musa,welcom musa
429,Cluster 1,welcome board musa,welcom board musa
430,Cluster 1,highly welcome,highli welcom
431,Cluster 1,warmly welcomed,warmli welcom
432,Cluster 1,welcome board binta,welcom board binta
433,Cluster 1,welcome board,welcom board
434,Cluster 1,please welcome jacques group,pleas welcom jacqu group
435,Cluster 1,congratulations welcome group,congratul welcom group
436,Cluster 1,welcome mrs,welcom mr
437,Cluster 1,welcome welcome,welcom welcom
438,Cluster 1,welcome,welcom
439,Cluster 1,please welcome group,pleas welcom group
440,Cluster 1,welcome,welcom
441,Cluster 1,welcome board,welcom board
442,Cluster 1,welcome board,welcom board
443,Cluster 1,welcome,welcom
444,Cluster 1,welcome venuste,welcom venust
445,Cluster 1,welcome venuste,welcom venust
446,Cluster 1,welcome board,welcom board
447,Cluster 1,please welcome jacqueline group,pleas welcom jacquelin group
448,Cluster 1,congratulation group welcome,congratul group welcom
449,Cluster 1,welcome board jacqueline,welcom board jacquelin
450,Cluster 1,welcome board,welcom board
451,Cluster 1,welcome,welcom
452,Cluster 1,welcome congratulations,welcom congratul
453,Cluster 1,welcome welcome new members,welcom welcom new member
454,Cluster 1,welcome,welcom
455,Cluster 1,welcome board prosper,welcom board prosper
456,Cluster 1,welcome dear,welcom dear
457,Cluster 1,welcome board,welcom board
458,Cluster 1,welcome,welcom
459,Cluster 1,welcome,welcom
460,Cluster 1,esther welcome,esther welcom
461,Cluster 1,welcome,welcom
462,Cluster 1,welcome board amina,welcom board amina
463,Cluster 1,welcome board esther,welcom board esther
464,Cluster 1,welcome,welcom
465,Cluster 1,welcome board,welcom board
466,Cluster 1,welcome donath,welcom donath
467,Cluster 1,welcome donath,welcom donath
468,Cluster 1,welcome board donath,welcom board donath
469,Cluster 1,welcome mrs welcome higher learning level,welcom mr welcom higher learn level
470,Cluster 1,welcome board,welcom board
471,Cluster 1,welcome,welcom
472,Cluster 1,welcome,welcom
473,Cluster 1,welcome,welcom
474,Cluster 1,welcome board clementine,welcom board clementin
475,Cluster 1,welcome,welcom
476,Cluster 1,welcome,welcom
477,Cluster 1,welcome board comfort,welcom board comfort
478,Cluster 1,welcome,welcom
479,Cluster 1,welcome,welcom
480,Cluster 1,welcome,welcom
481,Cluster 1,welcome,welcom
482,Cluster 1,welcome board emmanuel,welcom board emmanuel
483,Cluster 1,welcome,welcom
484,Cluster 1,welcome,welcom
485,Cluster 1,welcome board elizabeth,welcom board elizabeth
486,Cluster 1,welcome board adeniyi,welcom board adeniyi
487,Cluster 1,welcome,welcom
488,Cluster 1,welcome,welcom
489,Cluster 1,welcome board,welcom board
490,Cluster 1,welcome donath,welcom donath
491,Cluster 1,highly welcome,highli welcom
492,Cluster 1,welcome board shukurat,welcom board shukurat
493,Cluster 1,welcome,welcom
494,Cluster 1,welcome board victory,welcom board victori
495,Cluster 1,congratulations hope welcome kindly celebrate latest black belter state,congratul hope welcom kindli celebr latest black belter state
496,Cluster 1,welcome board,welcom board
497,Cluster 1,welcome congratulations,welcom congratul
498,Cluster 1,welcome hope state welcome,welcom hope state welcom
499,Cluster 1,welcome,welcom
500,Cluster 1,welcome,welcom
501,Cluster 1,please welcome anne group,pleas welcom ann group
502,Cluster 1,highly welcome,highli welcom
503,Cluster 1,welcome,welcom
504,Cluster 1,welcome,welcom
505,Cluster 1,welcome board,welcom board
506,Cluster 1,welcome board patricia,welcom board patricia
507,Cluster 1,welcome board anne,welcom board ann
508,Cluster 1,please welcome gilbert group,pleas welcom gilbert group
509,Cluster 1,welcome board gilbert,welcom board gilbert
510,Cluster 1,welcome board,welcom board
511,Cluster 1,please welcome gilbert group,pleas welcom gilbert group
512,Cluster 1,welcome,welcom
513,Cluster 1,welcome board gilbert,welcom board gilbert
514,Cluster 1,please welcome francine group,pleas welcom francin group
515,Cluster 1,welcome,welcom
516,Cluster 1,please welcome alphonsine group,pleas welcom alphonsin group
517,Cluster 1,welcome board,welcom board
518,Cluster 1,welcome board,welcom board
519,Cluster 1,welcome board honore,welcom board honor
520,Cluster 1,welcome,welcom
521,Cluster 1,welcome board,welcom board
522,Cluster 1,welcome francine,welcom francin
523,Cluster 1,welcome,welcom
524,Cluster 1,great exclusiveyou welcome,great exclusivey welcom
525,Cluster 1,welcome,welcom
526,Cluster 1,highly welcome,highli welcom
527,Cluster 1,welcome,welcom
528,Cluster 1,welcome sir,welcom sir
529,Cluster 1,welcome,welcom
530,Cluster 1,welcome,welcom
531,Cluster 1,welcome,welcom
532,Cluster 1,welcome everyone,welcom everyon
533,Cluster 1,welcome,welcom
534,Cluster 1,welcome,welcom
535,Cluster 1,please welcome marcel group,pleas welcom marcel group
536,Cluster 1,welcome,welcom
537,Cluster 1,welcome board marcel,welcom board marcel
538,Cluster 1,welcome edwin,welcom edwin
539,Cluster 1,welcome board edwin,welcom board edwin
540,Cluster 1,welcome edwin,welcom edwin
541,Cluster 1,welcome sir,welcom sir
542,Cluster 1,welcome sir,welcom sir
543,Cluster 1,welcome board,welcom board
544,Cluster 1,welcome board,welcom board
545,Cluster 1,welcome,welcom
546,Cluster 1,welcome,welcom
547,Cluster 1,welcome board franklin,welcom board franklin
548,Cluster 1,welcome,welcom
549,Cluster 1,welcome,welcom
550,Cluster 1,welcome,welcom
551,Cluster 1,welcome,welcom
552,Cluster 1,welcome,welcom
553,Cluster 1,welcome,welcom
554,Cluster 1,welcome,welcom
555,Cluster 1,welcome,welcom
556,Cluster 1,welcome,welcom
557,Cluster 1,please welcome irene group,pleas welcom iren group
558,Cluster 1,welcome,welcom
559,Cluster 1,welcome,welcom
560,Cluster 1,welcome,welcom
561,Cluster 1,welcome,welcom
562,Cluster 1,welcome,welcom
563,Cluster 1,welcome,welcom
564,Cluster 1,welcome board,welcom board
565,Cluster 1,welcome board,welcom board
566,Cluster 1,welcome congrats,welcom congrat
567,Cluster 1,welcome board amadou,welcom board amad
568,Cluster 1,welcome board,welcom board
569,Cluster 1,welcome,welcom
570,Cluster 1,welcome board blessing,welcom board bless
571,Cluster 1,welcome,welcom
572,Cluster 1,welcome board sunday,welcom board sunday
573,Cluster 1,welcome sir,welcom sir
574,Cluster 1,welcome board isaac,welcom board isaac
575,Cluster 1,welcome board titilope,welcom board titilop
576,Cluster 1,welcome board,welcom board
577,Cluster 1,welcome,welcom
578,Cluster 1,welcome,welcom
579,Cluster 1,welcome,welcom
580,Cluster 1,welcome,welcom
581,Cluster 1,welcome board,welcom board
582,Cluster 1,welcome great champions,welcom great champion
583,Cluster 1,welcome,welcom
584,Cluster 1,welcome board,welcom board
585,Cluster 1,welcome board,welcom board
586,Cluster 1,welcome,welcom
587,Cluster 1,welcome,welcom
588,Cluster 1,congratulations welcome,congratul welcom
589,Cluster 1,welcome,welcom
590,Cluster 1,welcome board,welcom board
591,Cluster 1,welcome faith,welcom faith
592,Cluster 1,welcome,welcom
593,Cluster 1,welcome,welcom
594,Cluster 1,welcome dear,welcom dear
595,Cluster 1,welcome,welcom
596,Cluster 1,welcome,welcom
597,Cluster 1,welcome board,welcom board
598,Cluster 1,welcome,welcom
599,Cluster 1,welcome,welcom
600,Cluster 1,welcome,welcom
601,Cluster 1,welcome,welcom
602,Cluster 1,welcome,welcom
603,Cluster 1,welcome,welcom
604,Cluster 1,welcome board lateefat,welcom board lateefat
605,Cluster 1,welcome board titilayo,welcom board titilayo
606,Cluster 1,welcome,welcom
607,Cluster 1,welcome,welcom
608,Cluster 1,welcome,welcom
609,Cluster 1,welcome,welcom
610,Cluster 1,welcome,welcom
611,Cluster 1,welcome,welcom
612,Cluster 1,welcome,welcom
613,Cluster 1,welcome,welcom
614,Cluster 1,please welcome samuel group,pleas welcom samuel group
615,Cluster 1,welcome,welcom
616,Cluster 1,welcome,welcom
617,Cluster 1,welcome,welcom
618,Cluster 1,much welcome,much welcom
619,Cluster 1,welcome samuel,welcom samuel
620,Cluster 1,welcome board,welcom board
621,Cluster 1,welcome board friends,welcom board friend
622,Cluster 1,welcome board,welcom board
623,Cluster 1,welcome,welcom
624,Cluster 1,welcome board,welcom board
625,Cluster 1,welcome,welcom
626,Cluster 1,welcome,welcom
627,Cluster 1,welcome,welcom
628,Cluster 1,welcome board,welcom board
629,Cluster 1,welcome board,welcom board
630,Cluster 1,welcome,welcom
631,Cluster 1,welcome,welcom
632,Cluster 1,welcome,welcom
633,Cluster 1,wow warm welcome,wow warm welcom
634,Cluster 1,welcome members,welcom member
635,Cluster 1,welcome board,welcom board
636,Cluster 1,big welcome,big welcom
637,Cluster 1,welcome board,welcom board
638,Cluster 1,welcome board,welcom board
639,Cluster 1,welcome,welcom
640,Cluster 1,welcome,welcom
641,Cluster 1,welcome,welcom
642,Cluster 1,warmly welcome,warmli welcom
643,Cluster 1,welcome board love,welcom board love
644,Cluster 1,welcome glad,welcom glad
645,Cluster 1,please welcome khadijat group,pleas welcom khadijat group
646,Cluster 1,welcome forum,welcom forum
647,Cluster 1,welcome,welcom
648,Cluster 1,welcome,welcom
649,Cluster 1,welcome,welcom
650,Cluster 1,welcome board,welcom board
651,Cluster 1,welcome,welcom
652,Cluster 1,welcome,welcom
653,Cluster 1,welcome sir,welcom sir
654,Cluster 1,welcome,welcom
655,Cluster 1,welcome board kamal,welcom board kamal
656,Cluster 1,welcome board john,welcom board john
657,Cluster 1,welcome,welcom
658,Cluster 1,welcome,welcom
659,Cluster 1,welcome,welcom
660,Cluster 1,welcome board emily,welcom board emili
661,Cluster 1,welcome,welcom
662,Cluster 1,welcome,welcom
663,Cluster 1,welcome boss,welcom boss
664,Cluster 1,welcome board,welcom board
665,Cluster 1,welcome evening everyone,welcom even everyon
666,Cluster 1,welcome priscilla,welcom priscilla
667,Cluster 1,welcome,welcom
668,Cluster 1,welcome board,welcom board
669,Cluster 1,welcome,welcom
670,Cluster 1,welcome,welcom
671,Cluster 1,welcome board,welcom board
672,Cluster 1,welcome board,welcom board
673,Cluster 1,welcome,welcom
674,Cluster 1,welcome,welcom
675,Cluster 1,welcome board,welcom board
676,Cluster 1,welcome,welcom
677,Cluster 1,welcome board,welcom board
678,Cluster 1,welcome,welcom
679,Cluster 1,welcome,welcom
680,Cluster 1,welcome sir,welcom sir
681,Cluster 1,welcome,welcom
