,labels,reviews_no_names,stemmed_reviews
3439,Cluster 2,good afternoon everyone thanks warm welcome,afternoon everyon warm welcom
3442,Cluster 2,thank sir,sir
3445,Cluster 2,thanks happy part family,part famili
3446,Cluster 2,thanks great opportunity grateful scam study impact love man helping become fellow blackbelts please dont stop learning well stop impacting remain humble collegue alexander million teacher world,opportun grate scam studi impact love man help becom fellow blackbelt pleas dont stop learn well stop impact remain humbl collegu alexand million teacher world
3447,Cluster 2,thank sir,sir
3448,Cluster 2,amen thanks bigger,amen bigger
3450,Cluster 2,thank warm welcome,warm welcom
3452,Cluster 2,thank much,much
3456,Cluster 2,many thank sir good,mani sir
3458,Cluster 2,good evening send link fill form joined group thank,even send link fill form join group
3459,Cluster 2,thank sir,sir
3463,Cluster 2,thanks austin need support think got frustrated ns get,austin need support think got frustrat ns get
3464,Cluster 2,thanks dear,dear
3467,Cluster 2,done thanks,done
3468,Cluster 2,thank much sir,much sir
3469,Cluster 2,thank much,much
3470,Cluster 2,thank everyone,everyon
3471,Cluster 2,thanks members group,member group
3474,Cluster 2,thank sir good,sir
3476,Cluster 2,thank sir,sir
3481,Cluster 2,thanks welcome,welcom
3482,Cluster 2,thank much pleased,much pleas
3483,Cluster 2,thanks everyone,everyon
3484,Cluster 2,thank add,add
3486,Cluster 2,thanks delighted part group,delight part group
3487,Cluster 2,thank helping ouf,help ouf
3489,Cluster 2,thanks invite,invit
3490,Cluster 2,good morning everyone thanks sharing video interesting explanatory mentorship program thanks,morn everyon share video interest explanatori mentorship program
3493,Cluster 2,yeah thanks filled yet mentorship refill done,yeah fill yet mentorship refil done
3495,Cluster 2,thank sir,sir
3496,Cluster 2,thank claudine merry christmas,claudin merri christma
3500,Cluster 2,good evening everyone great thank,even everyon
3501,Cluster 2,thank much,much
3502,Cluster 2,good evening sir thank,even sir
3509,Cluster 2,towards time post reminder thanks god bless,toward time post remind god
3511,Cluster 2,thanks everyone,everyon
3512,Cluster 2,thank much,much
3514,Cluster 2,thanks madam good experience shared better use method nice one,madam experi share better use method nice one
3520,Cluster 2,thanks invite,invit
3521,Cluster 2,thanks sharing,share
3522,Cluster 2,thanks look forward healthy discussion,look forward healthi discuss
3524,Cluster 2,good day blackbelts thanks shown interest upcoming program would like ask feedback mentors decide final selection mentors please help following feedback form thanks,day blackbelt shown interest upcom program would like ask feedback mentor decid final select mentor pleas help follow feedback form
3527,Cluster 2,thank much,much
3529,Cluster 2,new black belt able join thursday lessons due busy schedule humble appeal lesson split two sessions thursdays saturday also take part thanks,new black belt abl join thursday lesson due busi schedul humbl appeal lesson split two session thursday saturday also take part
3530,Cluster 2,hello team information circulation concerning partners sponsors please note affiliation partnership zenith bank shell please team always reachout hakeem concerning information putting either marketing advertising always reach however commend effort see people teachers benefit million teachers program thank,hello team inform circul concern partner sponsor pleas note affili partnership zenith bank shell pleas team alway reachout hakeem concern inform put either market advertis alway reach howev commend effort see peopl teacher benefit million teacher program
3533,Cluster 2,thank everyone,everyon
3536,Cluster 2,thank everyone appreciate kind words,everyon kind word
3537,Cluster 2,thank much,much
3538,Cluster 2,thank one women truly inspire,one women truli inspir
3539,Cluster 2,noted thank,note
3540,Cluster 2,thank much,much
3541,Cluster 2,thanks sharing,share
3542,Cluster 2,thanks sir sharing,sir share
3544,Cluster 2,thanks sharing,share
3545,Cluster 2,teachers leaders changing world thank sharing,teacher leader chang world share
3546,Cluster 2,fantastic presentation present day reality thanks sharing sir,fantast present present day realiti share sir
3547,Cluster 2,nice thanks sir,nice sir
3548,Cluster 2,thanks much way sessions open everyone,much way session open everyon
3550,Cluster 2,thanks sharing,share
3552,Cluster 2,amazing analysis thank sharing,amaz analysi share
3553,Cluster 2,thank sharing,share
3554,Cluster 2,thank sharing,share
3555,Cluster 2,thank god time thinking convenient happy,god time think conveni
3556,Cluster 2,awesome thanks lot much appreciated,awesom lot much
3557,Cluster 2,yes engaging inspiring thanks consulting,ye engag inspir consult
3558,Cluster 2,thanks well received,well receiv
3559,Cluster 2,thanks sharing,share
3560,Cluster 2,thanks vision initiative also sharing,vision initi also share
3561,Cluster 2,thanks sir sharing,sir share
3562,Cluster 2,thank sir,sir
3564,Cluster 2,thanks much appreciated,much
3565,Cluster 2,alright thanks,alright
3567,Cluster 2,noted thank,note
3568,Cluster 2,thanks sharing,share
3569,Cluster 2,thanks sharing,share
3570,Cluster 2,thanks much sir,much sir
3571,Cluster 2,thank sir,sir
3572,Cluster 2,thanks sharing resource,share resourc
3573,Cluster 2,thank sharing,share
3574,Cluster 2,yes double award thanks mam still dey expect visit,ye doubl award mam still dey expect visit
3575,Cluster 2,art works amazing thank much sharing sir,art work amaz much share sir
3576,Cluster 2,thanks sharing sir,share sir
3577,Cluster 2,thank kind wishes,kind wish
3578,Cluster 2,many thanks look forward session confirm receipt mail,mani look forward session confirm receipt mail
3579,Cluster 2,wow really enjoyed lesson wait thank mail received,wow realli enjoy lesson wait mail receiv
3580,Cluster 2,ramadhan mubarak mail received thank,ramadhan mubarak mail receiv
3581,Cluster 2,kindly delete thank,kindli delet
3582,Cluster 2,thank sharing sir,share sir
3583,Cluster 2,thank inspiring session,inspir session
3584,Cluster 2,awesome thanks letting know,awesom let know
3585,Cluster 2,bet fun today unfortunately something urgent came attend thanks team,bet fun today unfortun someth urgent came attend team
3586,Cluster 2,noted thanks,note
3587,Cluster 2,well received thank,well receiv
3588,Cluster 2,thanks reminder,remind
3589,Cluster 2,good morning thank,morn
3591,Cluster 2,thanks job well done,job well done
3592,Cluster 2,thanks update,updat
3593,Cluster 2,morning thanks,morn
3595,Cluster 2,thanks update,updat
3597,Cluster 2,update thank,updat
3598,Cluster 2,noted thanks,note
3599,Cluster 2,thanks well received,well receiv
3601,Cluster 2,thanks heads check,head check
3602,Cluster 2,alright thanks,alright
3603,Cluster 2,good evening quick observation login million teachers platform start module belt please first make sure name correct editing profile section make sure name reflected correctly certificate thank,even quick observ login million teacher platform start modul belt pleas first make sure name correct edit profil section make sure name reflect correctli certif
3604,Cluster 2,noted thank sir,note sir
3605,Cluster 2,noted thank,note
3607,Cluster 2,noted thanks,note
3608,Cluster 2,today session creativity fun ever thankful millionteachers management team,today session creativ fun ever millionteach manag team
3609,Cluster 2,thanks lot,lot
3611,Cluster 2,well received thank,well receiv
3612,Cluster 2,noted thank,note
3613,Cluster 2,noted thanks,note
3615,Cluster 2,thanks mrs fatima actually struggled unfortunately realize soon realized problem joining late,mr fatima actual struggl unfortun realiz soon realiz problem join late
3616,Cluster 2,thank insightful session though joined later,insight session though join later
3617,Cluster 2,dear team thanks joining session hope got insights bloom taxonomy rubric important part engage learner provide feedback positively start thinking end goal,dear team join session hope got insight bloom taxonomi rubric import part engag learner provid feedback posit start think end goal
3619,Cluster 2,missed today session thought usual time plead summary lesson posted thank,miss today session thought usual time plead summari lesson post
3623,Cluster 2,good day got thank,day got
3624,Cluster 2,thank opportunity really appreciate,opportun realli
3625,Cluster 2,thanks eye opening session,eye open session
3626,Cluster 2,thanks participation next week discussing home schooling please join,particip next week discuss home school pleas join
3627,Cluster 2,insightful thank,insight
3628,Cluster 2,mind thank,mind
3629,Cluster 2,thanks joining,join
3630,Cluster 2,thanks sharing evening,share even
3631,Cluster 2,thanks everyone participated network issues,everyon particip network issu
3632,Cluster 2,thank feel honored,feel honor
3633,Cluster 2,thanks much,much
3634,Cluster 2,thanks update,updat
3636,Cluster 2,thanks fatimah,fatimah
3637,Cluster 2,thank reminder,remind
3639,Cluster 2,top morning noted thank reminder,top morn note remind
3640,Cluster 2,thanks great job,job
3641,Cluster 2,thanks much,much
3642,Cluster 2,thanks much,much
3643,Cluster 2,thanks much,much
3644,Cluster 2,thanks session,session
3646,Cluster 2,important topic thanks,import topic
3647,Cluster 2,thank prayers,prayer
3648,Cluster 2,thank sharing,share
3651,Cluster 2,good morning thanks invite,morn invit
3652,Cluster 2,good day order help gauge need area providing gender responsive education million teachers like view filling survey thanks link google,day order help gaug need area provid gender respons educ million teacher like view fill survey link googl
3655,Cluster 2,good morning thank reminder,morn remind
3656,Cluster 2,thank much giving insight running successful business learnt much today,much give insight run success busi learnt much today
3658,Cluster 2,thanks participants next thursday talking teaching mathematics comprehension,particip next thursday talk teach mathemat comprehens
3660,Cluster 2,thank giving opportunity,give opportun
3661,Cluster 2,noted thank,note
3662,Cluster 2,thanks looking forward learning,look forward learn
3663,Cluster 2,thank people,peopl
3664,Cluster 2,thank today session,today session
